a_timestamp,a_name,edits_live_pre,edits_deleted_pre,edits_total_pre,edits_live_post,edits_deleted_post,edits_total_post
20220111234424,28bytes,67.0,0.0,67.0,0.0,0.0,0.0
20220201001214,Jackmcbarn,9.0,0.0,9.0,0.0,0.0,0.0
20220201001234,Master of Puppets,1.0,0.0,1.0,0.0,0.0,0.0
20220201001257,Jamesday,3.0,0.0,3.0,0.0,0.0,0.0
20220201001327,Saravask,1.0,0.0,1.0,0.0,0.0,0.0
20220201121244,Modussiccandi,9673.0,1142.0,10815.0,0.0,0.0,0.0
20220202192542,Fuzheado,5465.0,38.0,5503.0,0.0,0.0,0.0
20220210155853,Darwinek,7391.0,43.0,7434.0,0.0,0.0,0.0
20220301010336,Sabine's Sunbird,16.0,0.0,16.0,0.0,0.0,0.0
20220301010341,Wassupwestcoast,12.0,0.0,12.0,0.0,0.0,0.0
20220301010349,Ryan Postlethwaite,1.0,0.0,1.0,0.0,0.0,0.0
20220310011447,Ad Orientem,219.0,3.0,222.0,0.0,0.0,0.0
20220311153323,Firefly,8293.0,1297.0,9590.0,0.0,0.0,0.0
20220325150920,Sdrqaz,10640.0,1309.0,11949.0,0.0,0.0,0.0
20220401004147,Grue,6.0,0.0,6.0,0.0,0.0,0.0
20220401004158,Fribbler,5.0,0.0,5.0,0.0,0.0,0.0
20220401004214,West.andrew.g,2.0,0.0,2.0,0.0,0.0,0.0
20220401004230,David.Monniaux,5.0,0.0,5.0,0.0,0.0,0.0
20220409132919,Colin M,3970.0,89.0,4059.0,0.0,0.0,0.0
20220501002144,Visorstuff,1.0,0.0,1.0,0.0,0.0,0.0
20220501002154,Darkwind,215.0,3.0,218.0,0.0,0.0,0.0
20220501002241,Geometry guy,6.0,0.0,6.0,0.0,0.0,0.0
20220501002247,RoyBoy,1.0,0.0,1.0,0.0,0.0,0.0
20220501002253,WAvegetarian,1.0,0.0,1.0,0.0,0.0,0.0
20220501002259,Barek,2.0,0.0,2.0,0.0,0.0,0.0
20220503133205,Tamzin,10096.0,435.0,10531.0,0.0,0.0,0.0
20220601004055,AA,4.0,0.0,4.0,0.0,0.0,0.0
20220601004105,Gwalla,1.0,0.0,1.0,0.0,0.0,0.0
20220601004112,Nat,32.0,14.0,46.0,0.0,0.0,0.0
20220601004122,Rfl,6.0,0.0,6.0,0.0,0.0,0.0
20220601004132,Laurascudder,1.0,0.0,1.0,0.0,0.0,0.0
20220717174805,Valereee,12452.0,435.0,12887.0,0.0,0.0,0.0
20220809184042,DanCherek,32928.0,2700.0,35628.0,0.0,0.0,0.0
20220815165921,DatGuy,1347.0,20.0,1367.0,0.0,0.0,0.0
20220818083148,Femke,4466.0,12.0,4478.0,0.0,0.0,0.0
20220829192646,Z1720,7404.0,192.0,7596.0,0.0,0.0,0.0
20220921213627,ScottishFinnishRadish,15509.0,291.0,15800.0,0.0,0.0,0.0
20220926174358,Staxringold,11.0,0.0,11.0,0.0,0.0,0.0
20221001000526,Astronautics~enwiki,1.0,0.0,1.0,0.0,0.0,0.0
20221001000533,SB Johnny,12.0,0.0,12.0,0.0,0.0,0.0
20221001000540,GraemeL,1.0,0.0,1.0,0.0,0.0,0.0
20221001000544,Natalya,1.0,0.0,1.0,0.0,0.0,0.0
20221002033408,Whpq,6189.0,2342.0,8531.0,0.0,0.0,0.0
20221012000847,The Blade of the Northern Lights,2333.0,25.0,2358.0,0.0,0.0,0.0
20221014224615,Isabelle Belato,15267.0,213.0,15480.0,0.0,0.0,0.0
20221028140253,Eddie891,15222.0,300.0,15522.0,0.0,0.0,0.0
20221031233143,Excirial,3.0,0.0,3.0,0.0,0.0,0.0
20221031233151,Ron Ritzman,5.0,0.0,5.0,0.0,0.0,0.0
20221109071801,Euryalus,1370.0,4.0,1374.0,0.0,0.0,0.0
20221122222138,TheresNoTime,7332.0,414.0,7746.0,0.0,0.0,0.0
20221205145225,BorgQueen,172.0,0.0,172.0,0.0,0.0,0.0
20221207231639,Stephen,2772.0,2.0,2774.0,0.0,0.0,0.0
20221215235932,Extraordinary Writ,33929.0,1942.0,35871.0,0.0,0.0,0.0
20221221171737,ComplexRational,2510.0,7.0,2517.0,0.0,0.0,0.0
