a_timestamp,a_name,edits_live_pre,edits_deleted_pre,edits_total_pre,edits_live_post,edits_deleted_post,edits_total_post
20220101003537,Nunh-huh,302.0,0.0,302.0,0.0,0.0,0.0
20220111234424,28bytes,374.0,3.0,377.0,0.0,0.0,0.0
20220201001234,Master of Puppets,4.0,0.0,4.0,0.0,0.0,0.0
20220201001257,Jamesday,21.0,1.0,22.0,0.0,0.0,0.0
20220201001327,Saravask,7.0,0.0,7.0,0.0,0.0,0.0
20220201121244,Modussiccandi,1610.0,11.0,1621.0,0.0,0.0,0.0
20220202192542,Fuzheado,1004.0,23.0,1027.0,0.0,0.0,0.0
20220210155853,Darwinek,10509.0,59.0,10568.0,0.0,0.0,0.0
20220301010336,Sabine's Sunbird,1108.0,1.0,1109.0,0.0,0.0,0.0
20220301010341,Wassupwestcoast,7.0,0.0,7.0,0.0,0.0,0.0
20220301010349,Ryan Postlethwaite,2.0,0.0,2.0,0.0,0.0,0.0
20220310011447,Ad Orientem,10734.0,180.0,10914.0,0.0,0.0,0.0
20220325150920,Sdrqaz,501.0,2.0,503.0,0.0,0.0,0.0
20220401004147,Grue,4.0,0.0,4.0,0.0,0.0,0.0
20220401004158,Fribbler,4.0,0.0,4.0,0.0,0.0,0.0
20220401004214,West.andrew.g,1550.0,0.0,1550.0,0.0,0.0,0.0
20220401004230,David.Monniaux,6.0,0.0,6.0,0.0,0.0,0.0
20220409132919,Colin M,4268.0,68.0,4336.0,0.0,0.0,0.0
20220501002144,Visorstuff,7.0,3.0,10.0,0.0,0.0,0.0
20220501002154,Darkwind,1557.0,46.0,1603.0,0.0,0.0,0.0
20220501002241,Geometry guy,9.0,0.0,9.0,0.0,0.0,0.0
20220501002247,RoyBoy,10.0,1.0,11.0,0.0,0.0,0.0
20220501002253,WAvegetarian,3.0,0.0,3.0,0.0,0.0,0.0
20220501002259,Barek,90.0,1.0,91.0,0.0,0.0,0.0
20220601004055,AA,13.0,0.0,13.0,0.0,0.0,0.0
20220601004105,Gwalla,7.0,0.0,7.0,0.0,0.0,0.0
20220601004112,Nat,703.0,5.0,708.0,0.0,0.0,0.0
20220601004122,Rfl,5.0,0.0,5.0,0.0,0.0,0.0
20220601004132,Laurascudder,3.0,0.0,3.0,0.0,0.0,0.0
20220717174805,Valereee,13735.0,360.0,14095.0,0.0,0.0,0.0
20220815165921,DatGuy,1536.0,23.0,1559.0,0.0,0.0,0.0
20220818083148,Femke,3149.0,17.0,3166.0,0.0,0.0,0.0
20220829192646,Z1720,7.0,0.0,7.0,0.0,0.0,0.0
20220926174358,Staxringold,23.0,0.0,23.0,0.0,0.0,0.0
20221001000526,Astronautics~enwiki,1.0,0.0,1.0,0.0,0.0,0.0
20221001000533,SB Johnny,6.0,0.0,6.0,0.0,0.0,0.0
20221001000540,GraemeL,9.0,0.0,9.0,0.0,0.0,0.0
20221001000544,Natalya,2.0,0.0,2.0,0.0,0.0,0.0
20221002033408,Whpq,7973.0,3174.0,11147.0,0.0,0.0,0.0
20221012000847,The Blade of the Northern Lights,3299.0,77.0,3376.0,0.0,0.0,0.0
20221028140253,Eddie891,2950.0,169.0,3119.0,0.0,0.0,0.0
20221031233143,Excirial,4.0,0.0,4.0,0.0,0.0,0.0
20221031233151,Ron Ritzman,2.0,0.0,2.0,0.0,0.0,0.0
20221109071801,Euryalus,771.0,9.0,780.0,0.0,0.0,0.0
20221122222138,TheresNoTime,284.0,2.0,286.0,0.0,0.0,0.0
20221205145225,BorgQueen,682.0,1.0,683.0,0.0,0.0,0.0
20221207231639,Stephen,2762.0,41.0,2803.0,0.0,0.0,0.0
20221221171737,ComplexRational,6640.0,280.0,6920.0,0.0,0.0,0.0
