a_timestamp,a_name,edits_live_pre,edits_deleted_pre,edits_total_pre,edits_live_post,edits_deleted_post,edits_total_post
20220111234424,28bytes,528.0,1.0,529.0,1779.0,4.0,1783.0
20220201001234,Master of Puppets,0.0,0.0,0.0,1.0,0.0,1.0
20220201001257,Jamesday,0.0,0.0,0.0,19.0,0.0,19.0
20220201121244,Modussiccandi,706.0,76.0,782.0,4742.0,335.0,5077.0
20220202192542,Fuzheado,81.0,0.0,81.0,6044.0,55.0,6099.0
20220210155853,Darwinek,740.0,3.0,743.0,3912.0,43.0,3955.0
20220301010349,Ryan Postlethwaite,0.0,0.0,0.0,1.0,0.0,1.0
20220310011447,Ad Orientem,437.0,0.0,437.0,8177.0,36.0,8213.0
20220311153323,Firefly,1393.0,89.0,1482.0,4850.0,122.0,4972.0
20220325150920,Sdrqaz,1803.0,226.0,2029.0,3071.0,201.0,3272.0
20220401004147,Grue,0.0,0.0,0.0,1.0,0.0,1.0
20220401004158,Fribbler,0.0,0.0,0.0,2.0,0.0,2.0
20220401004230,David.Monniaux,0.0,0.0,0.0,6.0,0.0,6.0
20220409132919,Colin M,1064.0,10.0,1074.0,1460.0,9.0,1469.0
20220413175640,McVities3,10.0,0.0,10.0,2.0,0.0,2.0
20220501002247,RoyBoy,0.0,0.0,0.0,1.0,0.0,1.0
20220503133205,Tamzin,8070.0,297.0,8367.0,18955.0,548.0,19503.0
20220601004055,AA,0.0,0.0,0.0,3.0,0.0,3.0
20220717174805,Valereee,4718.0,276.0,4994.0,6070.0,227.0,6297.0
20220809184042,DanCherek,17436.0,2019.0,19455.0,5727.0,356.0,6083.0
20220815165921,DatGuy,598.0,3.0,601.0,4602.0,76.0,4678.0
20220818083148,Femke,2357.0,121.0,2478.0,1117.0,8.0,1125.0
20220829192646,Z1720,4274.0,37.0,4311.0,1189.0,7.0,1196.0
20220921213627,ScottishFinnishRadish,13153.0,341.0,13494.0,3650.0,16.0,3666.0
20220926174358,Staxringold,44.0,19.0,63.0,15.0,0.0,15.0
20221002033408,Whpq,3806.0,1400.0,5206.0,2477.0,507.0,2984.0
20221012000847,The Blade of the Northern Lights,1802.0,8.0,1810.0,285.0,0.0,285.0
20221014224615,Isabelle Belato,16222.0,202.0,16424.0,1208.0,47.0,1255.0
20221028140253,Eddie891,2526.0,47.0,2573.0,908.0,3.0,911.0
20221109071801,Euryalus,216.0,1.0,217.0,74.0,0.0,74.0
20221122222138,TheresNoTime,3744.0,78.0,3822.0,346.0,7.0,353.0
20221205145225,BorgQueen,3924.0,45.0,3969.0,1407.0,5.0,1412.0
20221207231639,Stephen,2503.0,13.0,2516.0,57.0,0.0,57.0
20221215235932,Extraordinary Writ,16402.0,1131.0,17533.0,436.0,19.0,455.0
20221221171737,ComplexRational,4891.0,371.0,5262.0,388.0,26.0,414.0
