a_timestamp,a_name,edits_live_pre,edits_deleted_pre,edits_total_pre,edits_live_post,edits_deleted_post,edits_total_post
20210101005329,Wangi,0.0,0.0,0.0,10.0,0.0,10.0
20210101005331,Nandesuka,0.0,0.0,0.0,1.0,0.0,1.0
20210113205613,Ivanvector,0.0,0.0,0.0,1353.0,21.0,1374.0
20210121171924,Hog Farm,0.0,0.0,0.0,8813.0,244.0,9057.0
20210129171856,Ponyo,0.0,0.0,0.0,10966.0,222.0,11188.0
20210222135314,TJMSmith,0.0,0.0,0.0,8280.0,134.0,8414.0
20210301002044,Alexandria,0.0,0.0,0.0,1.0,0.0,1.0
20210401015907,Enchanter,0.0,0.0,0.0,3.0,0.0,3.0
20210501000816,Husond,0.0,0.0,0.0,299.0,42.0,341.0
20210501000823,MattWade,0.0,0.0,0.0,3.0,0.0,3.0
20210501000829,MJCdetroit,0.0,0.0,0.0,6.0,0.0,6.0
20210501000841,Vague Rant,0.0,0.0,0.0,2.0,0.0,2.0
20210501000845,Kingboyk,0.0,0.0,0.0,6.0,0.0,6.0
20210523041602,Less Unless,0.0,0.0,0.0,4656.0,282.0,4938.0
20210601002036,Mulad,0.0,0.0,0.0,2.0,0.0,2.0
20210601002112,ThaddeusB,0.0,0.0,0.0,28.0,0.0,28.0
20210601002156,Eliz81,0.0,0.0,0.0,1.0,0.0,1.0
20210612144302,Trialpears,0.0,0.0,0.0,399.0,10.0,409.0
20210701002750,Kees08,0.0,0.0,0.0,7.0,0.0,7.0
20210709170730,BusterD,0.0,0.0,0.0,3564.0,73.0,3637.0
20210815122302,Jake Wartenberg,0.0,0.0,0.0,991.0,5.0,996.0
20210901002255,Dppowell,0.0,0.0,0.0,10.0,0.0,10.0
20210901002305,Deathphoenix,0.0,0.0,0.0,1.0,0.0,1.0
20210911131757,Blablubbs,0.0,0.0,0.0,11010.0,164.0,11174.0
20211001000603,JDoorjam,0.0,0.0,0.0,1.0,0.0,1.0
20211001000609,Brian0918,0.0,0.0,0.0,6.0,0.0,6.0
20211001000620,Karanacs,0.0,0.0,0.0,6.0,0.0,6.0
20211007185937,Clpo13,0.0,0.0,0.0,105.0,4.0,109.0
20211201002612,Kateshortforbob,0.0,0.0,0.0,4.0,0.0,4.0
20211207211440,PBS,0.0,0.0,0.0,1004.0,8.0,1012.0
20211207211500,Ssd,0.0,0.0,0.0,2.0,0.0,2.0
20211207211522,SarekOfVulcan,0.0,0.0,0.0,372.0,3.0,375.0
20211207211535,Bishonen,0.0,0.0,0.0,3583.0,36.0,3619.0
20211207211547,TommyBoy,0.0,0.0,0.0,11982.0,21.0,12003.0
20211207211600,Amorymeltzer,0.0,0.0,0.0,162.0,2.0,164.0
20211207211630,Rschen7754,0.0,0.0,0.0,1288.0,70.0,1358.0
20211207211642,Chaser,0.0,0.0,0.0,7.0,0.0,7.0
20211207211655,Barkeep49,0.0,0.0,0.0,2715.0,48.0,2763.0
20211207211742,Mattythewhite,0.0,0.0,0.0,19974.0,34.0,20008.0
20211207211756,Muboshgu,0.0,0.0,0.0,35456.0,349.0,35805.0
20211207211810,Ritchie333,0.0,0.0,0.0,4543.0,97.0,4640.0
20211207211825,Harrias,0.0,0.0,0.0,242.0,0.0,242.0
20211207211841,BigDom,0.0,0.0,0.0,644.0,8.0,652.0
20211207211853,Bilby,0.0,0.0,0.0,1170.0,39.0,1209.0
20211207211914,GiantSnowman,0.0,0.0,0.0,37524.0,168.0,37692.0
20211207211928,Valereee,0.0,0.0,0.0,10788.0,503.0,11291.0
20211207211942,Meno25,0.0,0.0,0.0,6783.0,35.0,6818.0
20211207211955,Missvain,0.0,0.0,0.0,25031.0,627.0,25658.0
20211207212005,Shirt58,0.0,0.0,0.0,1668.0,774.0,2442.0
20211207212018,Vanjagenije,0.0,0.0,0.0,2234.0,23.0,2257.0
20211207212039,Ekabhishek,0.0,0.0,0.0,182.0,20.0,202.0
20211207212051,MER-C,0.0,0.0,0.0,3672.0,560.0,4232.0
20211207212111,Nthep,0.0,0.0,0.0,7932.0,755.0,8687.0
20211207212122,MelanieN,0.0,0.0,0.0,3896.0,32.0,3928.0
20211207212134,Xeno,0.0,0.0,0.0,277.0,8.0,285.0
20211207212150,Pedro,0.0,0.0,0.0,59.0,0.0,59.0
20211207212209,Mkdw,0.0,0.0,0.0,338.0,2.0,340.0
20211207212225,SuperMarioMan,0.0,0.0,0.0,2434.0,18.0,2452.0
20211207212244,Paulmcdonald,0.0,0.0,0.0,685.0,60.0,745.0
20211207212254,Abecedare,0.0,0.0,0.0,1106.0,8.0,1114.0
20211207212305,ReaderofthePack,0.0,0.0,0.0,2383.0,131.0,2514.0
20211207212320,Kelapstick,0.0,0.0,0.0,13.0,0.0,13.0
20211207212331,Maile66,0.0,0.0,0.0,10231.0,139.0,10370.0
20211207212342,Oshwah,0.0,0.0,0.0,7562.0,132.0,7694.0
20211207212407,Tavix,0.0,0.0,0.0,2571.0,161.0,2732.0
20211207212418,Cerebellum,0.0,0.0,0.0,2249.0,96.0,2345.0
20211207212429,SQL,0.0,0.0,0.0,553.0,3.0,556.0
20211207212438,NinjaRobotPirate,0.0,0.0,0.0,10443.0,48.0,10491.0
20211207212451,Legoktm,0.0,0.0,0.0,1795.0,50.0,1845.0
20211207212506,Ferret,0.0,0.0,0.0,7221.0,85.0,7306.0
20211207212852,Kosack,0.0,0.0,0.0,1612.0,0.0,1612.0
20211207212911,Ealdgyth,0.0,0.0,0.0,5054.0,0.0,5054.0
20211207212923,Drmies,0.0,0.0,0.0,23893.0,655.0,24548.0
20211207213129,AmandaNP,0.0,0.0,0.0,406.0,2.0,408.0
20211207213139,Johnuniq,0.0,0.0,0.0,3394.0,10.0,3404.0
20211207213152,Fastily,0.0,0.0,0.0,1320.0,311.0,1631.0
20211207213206,Bradv,0.0,0.0,0.0,141.0,20.0,161.0
20211207213408,Cyclonebiskit,0.0,0.0,0.0,553.0,9.0,562.0
20211207213419,Cabayi,0.0,0.0,0.0,10515.0,589.0,11104.0
20211207213438,Rehman,0.0,0.0,0.0,1.0,0.0,1.0
20211207213451,TheresNoTime,0.0,0.0,0.0,4090.0,85.0,4175.0
20211207213500,Floquenbeam,0.0,0.0,0.0,1461.0,9.0,1470.0
20211207213513,TParis,0.0,0.0,0.0,47.0,0.0,47.0
20211207213530,Cyphoidbomb,0.0,0.0,0.0,4.0,0.0,4.0
20211207213624,78.26,0.0,0.0,0.0,1493.0,62.0,1555.0
20211207213636,AustralianRupert,0.0,0.0,0.0,124.0,0.0,124.0
20211207213646,Redrose64,0.0,0.0,0.0,8090.0,156.0,8246.0
20211207213658,Cullen328,0.0,0.0,0.0,12510.0,149.0,12659.0
20211207213713,Pbsouthwood,0.0,0.0,0.0,10936.0,118.0,11054.0
20211207213724,Schwede66,0.0,0.0,0.0,14953.0,224.0,15177.0
20211207213746,L235,0.0,0.0,0.0,1489.0,10.0,1499.0
20211207213756,K6ka,0.0,0.0,0.0,7720.0,12.0,7732.0
20211207213955,QEDK,0.0,0.0,0.0,29.0,0.0,29.0
20211207214011,Cwmhiraeth,0.0,0.0,0.0,2324.0,9.0,2333.0
20211207214022,Justlettersandnumbers,0.0,0.0,0.0,8852.0,816.0,9668.0
20211207214048,Widr,0.0,0.0,0.0,5035.0,8.0,5043.0
20211207214057,Titodutta,0.0,0.0,0.0,6742.0,272.0,7014.0
20211207214408,Megalibrarygirl,0.0,0.0,0.0,859.0,8.0,867.0
20211207214418,Northamerica1000,0.0,0.0,0.0,16804.0,295.0,17099.0
20211207214429,MusikAnimal,0.0,0.0,0.0,504.0,23.0,527.0
20211207214445,Peacemaker67,0.0,0.0,0.0,2816.0,11.0,2827.0
20211207214456,Samwalton9,0.0,0.0,0.0,524.0,24.0,548.0
20211207214514,Enterprisey,0.0,0.0,0.0,1000.0,1.0,1001.0
20211207214530,Evad37,0.0,0.0,0.0,40.0,0.0,40.0
20211207214609,Randykitty,0.0,0.0,0.0,5575.0,546.0,6121.0
20211207214630,Vanamonde93,0.0,0.0,0.0,6218.0,60.0,6278.0
20211207214703,EvergreenFir,0.0,0.0,0.0,8660.0,40.0,8700.0
