a_timestamp,a_name,edits_live_pre,edits_deleted_pre,edits_total_pre,edits_live_post,edits_deleted_post,edits_total_post
20210101005329,Wangi,0.0,0.0,0.0,4.0,0.0,4.0
20210101005331,Nandesuka,0.0,0.0,0.0,2.0,0.0,2.0
20210113205613,Ivanvector,104.0,4.0,108.0,1189.0,22.0,1211.0
20210121171924,Hog Farm,1046.0,247.0,1293.0,13300.0,1180.0,14480.0
20210129171856,Ponyo,772.0,7.0,779.0,9716.0,173.0,9889.0
20210222135314,TJMSmith,1404.0,18.0,1422.0,6461.0,122.0,6583.0
20210301002044,Alexandria,0.0,0.0,0.0,2.0,0.0,2.0
20210401015907,Enchanter,0.0,0.0,0.0,6.0,0.0,6.0
20210501000841,Vague Rant,0.0,0.0,0.0,5.0,0.0,5.0
20210501000849,Thunderboltz,0.0,0.0,0.0,1.0,0.0,1.0
20210522151514,Renamed user 7z42t3k8qj,21915.0,2658.0,24573.0,5144.0,300.0,5444.0
20210523041602,Less Unless,2694.0,42.0,2736.0,3160.0,211.0,3371.0
20210601002036,Mulad,0.0,0.0,0.0,54.0,0.0,54.0
20210601002156,Eliz81,0.0,0.0,0.0,1.0,0.0,1.0
20210612144302,Trialpears,5579.0,1513.0,7092.0,3209.0,586.0,3795.0
20210709170730,BusterD,4275.0,22.0,4297.0,1545.0,16.0,1561.0
20210815122302,Jake Wartenberg,76.0,1.0,77.0,394.0,0.0,394.0
20210901002255,Dppowell,0.0,0.0,0.0,2.0,0.0,2.0
20210911131757,Blablubbs,17528.0,1483.0,19011.0,5206.0,140.0,5346.0
20211007185937,Clpo13,95.0,2.0,97.0,3858.0,108.0,3966.0
20211207211416,Darkwind,215.0,3.0,218.0,0.0,0.0,0.0
20211207211440,PBS,1719.0,16.0,1735.0,3.0,0.0,3.0
20211207211500,Ssd,7.0,0.0,7.0,1.0,0.0,1.0
20211207211522,SarekOfVulcan,26.0,0.0,26.0,0.0,0.0,0.0
20211207211535,Bishonen,4221.0,40.0,4261.0,196.0,1.0,197.0
20211207211547,TommyBoy,10942.0,61.0,11003.0,522.0,0.0,522.0
20211207211600,Amorymeltzer,2134.0,20.0,2154.0,0.0,0.0,0.0
20211207211630,Rschen7754,3034.0,10.0,3044.0,28.0,2.0,30.0
20211207211642,Chaser,2.0,0.0,2.0,17.0,0.0,17.0
20211207211655,Barkeep49,4564.0,116.0,4680.0,137.0,24.0,161.0
20211207211742,Mattythewhite,21223.0,65.0,21288.0,1195.0,2.0,1197.0
20211207211756,Muboshgu,23778.0,633.0,24411.0,1507.0,54.0,1561.0
20211207211810,Ritchie333,8609.0,223.0,8832.0,274.0,1.0,275.0
20211207211825,Harrias,321.0,6.0,327.0,0.0,0.0,0.0
20211207211841,BigDom,74.0,0.0,74.0,0.0,0.0,0.0
20211207211853,Bilby,1051.0,41.0,1092.0,67.0,0.0,67.0
20211207211914,GiantSnowman,43588.0,232.0,43820.0,2406.0,9.0,2415.0
20211207211928,Valereee,11039.0,291.0,11330.0,1413.0,144.0,1557.0
20211207211942,Meno25,2547.0,5.0,2552.0,154.0,1.0,155.0
20211207211955,Missvain,15017.0,602.0,15619.0,11183.0,222.0,11405.0
20211207212005,Shirt58,1678.0,708.0,2386.0,121.0,59.0,180.0
20211207212018,Vanjagenije,3795.0,55.0,3850.0,209.0,5.0,214.0
20211207212039,Ekabhishek,128.0,0.0,128.0,6.0,0.0,6.0
20211207212051,MER-C,6463.0,1485.0,7948.0,447.0,103.0,550.0
20211207212111,Nthep,6825.0,682.0,7507.0,338.0,42.0,380.0
20211207212122,MelanieN,6068.0,43.0,6111.0,177.0,5.0,182.0
20211207212134,Xeno,1402.0,19.0,1421.0,0.0,0.0,0.0
20211207212150,Pedro,2.0,0.0,2.0,0.0,0.0,0.0
20211207212159,Nyttend,622.0,0.0,622.0,0.0,0.0,0.0
20211207212209,Mkdw,153.0,1.0,154.0,1.0,0.0,1.0
