a_timestamp,a_name,edits_live_pre,edits_deleted_pre,edits_total_pre,edits_live_post,edits_deleted_post,edits_total_post
20150119195154,Titodutta,0.0,0.0,0.0,9015.0,337.0,9352.0
20150121154733,MelanieN,0.0,0.0,0.0,6245.0,48.0,6293.0
20150126003549,RG2,0.0,0.0,0.0,5.0,0.0,5.0
20150207165121,Waltpohl,0.0,0.0,0.0,9.0,0.0,9.0
20150215045403,Vejvančický,0.0,0.0,0.0,19.0,0.0,19.0
20150220052610,SarekOfVulcan,0.0,0.0,0.0,26.0,0.0,26.0
20150223192813,Fenix down,0.0,0.0,0.0,4190.0,81.0,4271.0
20150311234808,ST11,0.0,0.0,0.0,5.0,0.0,5.0
20150402145443,Dennis Brown,0.0,0.0,0.0,1390.0,13.0,1403.0
20150404150751,Nyttend,0.0,0.0,0.0,622.0,0.0,622.0
20150502093747,Opabinia regalis,0.0,0.0,0.0,1151.0,6.0,1157.0
20150510212524,Ritchie333,0.0,0.0,0.0,8883.0,224.0,9107.0
20150512111902,TigerShark,0.0,0.0,0.0,54.0,0.0,54.0
20150519192903,Abecedare,0.0,0.0,0.0,15.0,0.0,15.0
20150527180249,DESiegel,0.0,0.0,0.0,1.0,0.0,1.0
20150626194545,Ser Amantio di Nicolao,0.0,0.0,0.0,635979.0,18884.0,654863.0
20150706123931,Scott,0.0,0.0,0.0,160.0,47.0,207.0
20150712204908,Ceradon,0.0,0.0,0.0,22.0,0.0,22.0
20150726054238,Cyphoidbomb,0.0,0.0,0.0,6045.0,179.0,6224.0
20150726131222,MLauba,0.0,0.0,0.0,33.0,1.0,34.0
20150806010048,Liz,0.0,0.0,0.0,95993.0,12167.0,108160.0
20150811215133,Cyclonebiskit,0.0,0.0,0.0,727.0,2.0,729.0
20150830211400,Wbm1058,0.0,0.0,0.0,26757.0,887.0,27644.0
20150909075546,Explicit,0.0,0.0,0.0,43019.0,2470.0,45489.0
20150915071558,Grondemar,0.0,0.0,0.0,5.0,0.0,5.0
20150916150623,Aervanath,0.0,0.0,0.0,184.0,7.0,191.0
20151009025807,Ian.thomson,0.0,0.0,0.0,135.0,1.0,136.0
20151104190953,Salvidrim!,0.0,0.0,0.0,345.0,60.0,405.0
20151105234518,Yamaguchi先生,0.0,0.0,0.0,11434.0,102.0,11536.0
20151107001732,OhanaUnited,0.0,0.0,0.0,449.0,2.0,451.0
20151108003830,Biblioworm,0.0,0.0,0.0,2.0,0.0,2.0
20151113035935,Nick-D,0.0,0.0,0.0,5476.0,12.0,5488.0
20151113180828,Vanjagenije,0.0,0.0,0.0,4004.0,60.0,4064.0
20151114202902,Floquenbeam,0.0,0.0,0.0,1973.0,31.0,2004.0
20151126172946,Boing! said Zebedee,0.0,0.0,0.0,635.0,11.0,646.0
20151217011933,ERcheck,0.0,0.0,0.0,72.0,0.0,72.0
20151220193644,BethNaught,0.0,0.0,0.0,144.0,1.0,145.0
20151223152055,78.26,0.0,0.0,0.0,2774.0,109.0,2883.0
