a_timestamp,a_name,edits_live_pre,edits_deleted_pre,edits_total_pre,edits_live_post,edits_deleted_post,edits_total_post
20190101170018,JJMC89,0.0,0.0,0.0,7892.0,915.0,8807.0
20190121200912,BorgQueen,0.0,0.0,0.0,5331.0,50.0,5381.0
20190126230623,Enterprisey,0.0,0.0,0.0,1000.0,1.0,1001.0
20190201003624,Master Jay,0.0,0.0,0.0,12.0,0.0,12.0
20190201003630,Ragib,0.0,0.0,0.0,1.0,0.0,1.0
20190201003634,Rossami,0.0,0.0,0.0,11.0,0.0,11.0
20190201003652,Oscarthecat,0.0,0.0,0.0,5.0,0.0,5.0
20190201003700,Reaper Eternal,0.0,0.0,0.0,865.0,18.0,883.0
20190215194305,TheresNoTime,0.0,0.0,0.0,4090.0,85.0,4175.0
20190218005109,Evad37,0.0,0.0,0.0,40.0,0.0,40.0
20190301001243,Siroxo,0.0,0.0,0.0,6.0,0.0,6.0
20190301105415,Espresso Addict,0.0,0.0,0.0,3522.0,310.0,3832.0
20190319095227,ThaddeusB,0.0,0.0,0.0,28.0,0.0,28.0
20190401003346,Madman,0.0,0.0,0.0,1.0,0.0,1.0
20190410113826,Necrothesp,0.0,0.0,0.0,11143.0,144.0,11287.0
20190501013916,HickoryOughtShirt?4,0.0,0.0,0.0,2246.0,283.0,2529.0
20190601000112,Flyguy649,0.0,0.0,0.0,1.0,0.0,1.0
20190601000116,Moink,0.0,0.0,0.0,1.0,0.0,1.0
20190612233544,Floquenbeam,0.0,0.0,0.0,1461.0,9.0,1470.0
20190622174315,Boing! said Zebedee,0.0,0.0,0.0,535.0,4.0,539.0
20190625235002,Fram,0.0,0.0,0.0,9119.0,2257.0,11376.0
20190701000100,Journalist,0.0,0.0,0.0,501.0,0.0,501.0
20190707050754,Gadfium,0.0,0.0,0.0,7542.0,33.0,7575.0
20190707170024,Kosack,0.0,0.0,0.0,1612.0,0.0,1612.0
20190707170025,Valereee,0.0,0.0,0.0,10788.0,503.0,11291.0
20190709015433,Jonathunder,0.0,0.0,0.0,24.0,1.0,25.0
20190716151625,Ad Orientem,0.0,0.0,0.0,8614.0,36.0,8650.0
20190716193630,Nick,0.0,0.0,0.0,71.0,2.0,73.0
20190720024454,Yelyos,0.0,0.0,0.0,1.0,0.0,1.0
20190724015019,Ched,0.0,0.0,0.0,813.0,0.0,813.0
20190728123507,Just Step Sideways,0.0,0.0,0.0,3104.0,91.0,3195.0
20190730041201,Johnuniq,0.0,0.0,0.0,3394.0,10.0,3404.0
20190730155024,Lectonar,0.0,0.0,0.0,2170.0,16.0,2186.0
20190801001247,Rjanag,0.0,0.0,0.0,17.0,0.0,17.0
20190811140111,Chetsford,0.0,0.0,0.0,327.0,14.0,341.0
20190811140149,Bradv,0.0,0.0,0.0,141.0,20.0,161.0
20190817150009,Izno,0.0,0.0,0.0,13018.0,892.0,13910.0
20190901000304,Extraordinary Machine,0.0,0.0,0.0,27.0,0.0,27.0
20190908185549,Beetstra,0.0,0.0,0.0,820.0,9.0,829.0
20190908185602,Kusma,0.0,0.0,0.0,5199.0,29.0,5228.0
20190911121123,Barkeep49,0.0,0.0,0.0,2715.0,48.0,2763.0
20190914144124,KillerChihuahua,0.0,0.0,0.0,1.0,0.0,1.0
20191001004544,Fang Aili,0.0,0.0,0.0,5.0,12.0,17.0
20191002101800,MSGJ,0.0,0.0,0.0,5955.0,221.0,6176.0
20191003184725,WilyD,0.0,0.0,0.0,13.0,4.0,17.0
20191003193126,Nosebagbear,0.0,0.0,0.0,1263.0,21.0,1284.0
20191014003723,Kees08,0.0,0.0,0.0,7.0,0.0,7.0
20191018130252,GB fan,0.0,0.0,0.0,660.0,330.0,990.0
20191025213507,Voice of Clam,0.0,0.0,0.0,851.0,59.0,910.0
20191026073008,Girth Summit,0.0,0.0,0.0,17321.0,192.0,17513.0
20191101000333,Melchoir,0.0,0.0,0.0,2.0,0.0,2.0
20191101000339,John Vandenberg,0.0,0.0,0.0,38.0,3.0,41.0
20191110183239,ToBeFree,0.0,0.0,0.0,11153.0,143.0,11296.0
20191115232638,EvergreenFir,0.0,0.0,0.0,8660.0,40.0,8700.0
20191201002556,Matthewedwards,0.0,0.0,0.0,5.0,0.0,5.0
20191202230145,Dreamy Jazz,0.0,0.0,0.0,7588.0,150.0,7738.0
20191210202402,Deor,0.0,0.0,0.0,7034.0,124.0,7158.0
20191221031823,Spartaz,0.0,0.0,0.0,1145.0,32.0,1177.0
20191223105916,Newslinger,0.0,0.0,0.0,3460.0,13.0,3473.0
20191223180821,Rosguill,0.0,0.0,0.0,13578.0,1056.0,14634.0
20191226034900,Xeno,0.0,0.0,0.0,277.0,8.0,285.0
