a_timestamp,a_name,edits_live_pre,edits_deleted_pre,edits_total_pre,edits_live_post,edits_deleted_post,edits_total_post
20190101170018,JJMC89,1.0,0.0,1.0,110249.0,17646.0,127895.0
20190121200912,BorgQueen,56.0,0.0,56.0,626.0,1.0,627.0
20190126230623,Enterprisey,538.0,7.0,545.0,1739.0,30.0,1769.0
20190201003624,Master Jay,0.0,0.0,0.0,22.0,0.0,22.0
20190201003630,Ragib,0.0,0.0,0.0,1.0,0.0,1.0
20190201003634,Rossami,0.0,0.0,0.0,6.0,0.0,6.0
20190201003639,Tom,0.0,0.0,0.0,2.0,0.0,2.0
20190201003700,Reaper Eternal,0.0,0.0,0.0,1917.0,33.0,1950.0
20190215194305,TheresNoTime,28.0,0.0,28.0,256.0,2.0,258.0
20190218005109,Evad37,674.0,115.0,789.0,2663.0,232.0,2895.0
20190301001238,Schneelocke,0.0,0.0,0.0,2.0,0.0,2.0
20190301001243,Siroxo,0.0,0.0,0.0,1.0,0.0,1.0
20190301105415,Espresso Addict,823.0,11.0,834.0,3657.0,182.0,3839.0
20190319095227,ThaddeusB,15.0,0.0,15.0,15.0,0.0,15.0
20190401003329,Justanotherguyfromtennessee,0.0,0.0,0.0,2.0,2.0,4.0
20190401003334,Kzollman,0.0,0.0,0.0,1.0,0.0,1.0
20190401003346,Madman,0.0,0.0,0.0,9.0,0.0,9.0
20190410113826,Necrothesp,5058.0,91.0,5149.0,9399.0,165.0,9564.0
20190411092517,RexxS,1820.0,60.0,1880.0,2401.0,56.0,2457.0
20190501013916,HickoryOughtShirt?4,14221.0,658.0,14879.0,10636.0,395.0,11031.0
20190601000116,Moink,0.0,0.0,0.0,2.0,0.0,2.0
20190612233544,Floquenbeam,1272.0,18.0,1290.0,1417.0,30.0,1447.0
20190622174315,Boing! said Zebedee,3311.0,65.0,3376.0,790.0,7.0,797.0
20190625235002,Fram,2069.0,273.0,2342.0,1226.0,182.0,1408.0
20190701000053,Doug Bell,0.0,0.0,0.0,1.0,0.0,1.0
20190701000100,Journalist,0.0,0.0,0.0,4.0,0.0,4.0
20190707050754,Gadfium,1753.0,18.0,1771.0,3894.0,31.0,3925.0
20190707170024,Kosack,7269.0,117.0,7386.0,7126.0,17.0,7143.0
20190707170025,Valereee,6919.0,301.0,7220.0,6816.0,59.0,6875.0
20190709015433,Jonathunder,998.0,12.0,1010.0,1143.0,75.0,1218.0
20190716151625,Ad Orientem,5438.0,106.0,5544.0,5296.0,74.0,5370.0
20190716193630,Nick,248.0,2.0,250.0,64.0,5.0,69.0
20190720024454,Yelyos,2.0,0.0,2.0,2.0,0.0,2.0
20190724015019,Ched,168.0,1.0,169.0,21577.0,105.0,21682.0
20190728123507,Just Step Sideways,2908.0,34.0,2942.0,1948.0,27.0,1975.0
20190730041201,Johnuniq,3851.0,45.0,3896.0,3251.0,39.0,3290.0
20190730155024,Lectonar,1631.0,10.0,1641.0,1891.0,13.0,1904.0
20190801001247,Rjanag,0.0,0.0,0.0,6.0,0.0,6.0
20190801001251,DESiegel,0.0,0.0,0.0,3208.0,428.0,3636.0
20190811140111,Chetsford,5118.0,432.0,5550.0,2530.0,143.0,2673.0
20190811140149,Bradv,3628.0,276.0,3904.0,3063.0,135.0,3198.0
20190817150009,Izno,4423.0,105.0,4528.0,1826.0,100.0,1926.0
20190908185549,Beetstra,2346.0,64.0,2410.0,1478.0,37.0,1515.0
20190908185602,Kusma,1626.0,52.0,1678.0,1884.0,16.0,1900.0
20190911121123,Barkeep49,4977.0,434.0,5411.0,3349.0,197.0,3546.0
20190914144124,KillerChihuahua,36.0,0.0,36.0,836.0,26.0,862.0
20191002101800,MSGJ,2927.0,98.0,3025.0,1609.0,86.0,1695.0
20191003184725,WilyD,46.0,0.0,46.0,689.0,139.0,828.0
20191003193126,Nosebagbear,6209.0,393.0,6602.0,1370.0,35.0,1405.0
20191006010122,GermanJoe,11769.0,434.0,12203.0,2771.0,63.0,2834.0
20191014003723,Kees08,5250.0,11.0,5261.0,1627.0,6.0,1633.0
20191018130252,GB fan,2814.0,259.0,3073.0,251.0,152.0,403.0
20191025213507,Voice of Clam,1108.0,16.0,1124.0,241.0,1.0,242.0
20191026073008,Girth Summit,18105.0,1853.0,19958.0,1885.0,63.0,1948.0
20191101000512,MichaelQSchmidt,0.0,0.0,0.0,4.0,0.0,4.0
20191110183239,ToBeFree,24037.0,1052.0,25089.0,3272.0,49.0,3321.0
20191115232638,EvergreenFir,5228.0,62.0,5290.0,1491.0,18.0,1509.0
20191202230145,Dreamy Jazz,11567.0,4962.0,16529.0,406.0,58.0,464.0
20191210202402,Deor,4910.0,110.0,5020.0,197.0,1.0,198.0
20191221031823,Spartaz,702.0,69.0,771.0,855.0,31.0,886.0
20191223105916,Newslinger,20029.0,649.0,20678.0,604.0,32.0,636.0
20191223180821,Rosguill,33219.0,2470.0,35689.0,1530.0,101.0,1631.0
20191226034900,Xeno,1927.0,21.0,1948.0,15.0,0.0,15.0
