a_timestamp,a_name,edits_live_pre,edits_deleted_pre,edits_total_pre,edits_live_post,edits_deleted_post,edits_total_post
20041228073424,Premeditated Chaos,0.0,0.0,0.0,5594.0,180.0,5774.0
20041231040920,Tim Ivorson,0.0,0.0,0.0,42.0,0.0,42.0
20041231040951,Urhixidur,0.0,0.0,0.0,343.0,2.0,345.0
20050108024506,Rholton,0.0,0.0,0.0,2.0,0.0,2.0
20050108213700,Edward,0.0,0.0,0.0,667.0,2.0,669.0
20050110022103,BrokenSegue,0.0,0.0,0.0,311.0,96.0,407.0
20050110022124,Waltpohl,0.0,0.0,0.0,107.0,1.0,108.0
20050120065727,Vague Rant,0.0,0.0,0.0,6.0,0.0,6.0
20050121074159,Gabbe,0.0,0.0,0.0,50.0,0.0,50.0
20050121210120,Jni,0.0,0.0,0.0,51.0,0.0,51.0
20050124233245,Alteripse,0.0,0.0,0.0,2.0,0.0,2.0
20050126004012,Piotrus,0.0,0.0,0.0,13369.0,196.0,13565.0
20050128191233,Omegatron,0.0,0.0,0.0,118.0,0.0,118.0
20050208192222,Rich Farmbrough,0.0,0.0,0.0,39.0,0.0,39.0
20050214034227,Dbenbenn,0.0,0.0,0.0,1.0,0.0,1.0
20050215052722,Grutness,0.0,0.0,0.0,6532.0,110.0,6642.0
20050221120045,Utcursch,0.0,0.0,0.0,3384.0,58.0,3442.0
20050226003224,Timrollpickering,0.0,0.0,0.0,9653.0,135.0,9788.0
20050305205336,Brian0918,0.0,0.0,0.0,92.0,0.0,92.0
20050315132014,Cacycle,0.0,0.0,0.0,5.0,0.0,5.0
20050315193025,M. Dingemanse,0.0,0.0,0.0,3.0,0.0,3.0
20050319031133,Pharos,0.0,0.0,0.0,1483.0,3.0,1486.0
20050325152441,Bumm13,0.0,0.0,0.0,7616.0,32.0,7648.0
20050329095555,Scott Burley,0.0,0.0,0.0,97.0,0.0,97.0
20050330220830,Slambo,0.0,0.0,0.0,2.0,0.0,2.0
20050331162103,Mailer diablo,0.0,0.0,0.0,106.0,0.0,106.0
20050331162715,Inter,0.0,0.0,0.0,9.0,0.0,9.0
20050401215416,Sesel,0.0,0.0,0.0,753.0,2.0,755.0
20050407221309,Sundar,0.0,0.0,0.0,96.0,0.0,96.0
20050408041201,Antandrus,0.0,0.0,0.0,465.0,3.0,468.0
20050413140351,Gdr,0.0,0.0,0.0,3.0,0.0,3.0
20050413140407,Jinian,0.0,0.0,0.0,26.0,0.0,26.0
20050413140413,Wwoods,0.0,0.0,0.0,23.0,0.0,23.0
20050418181656,Mindspillage,0.0,0.0,0.0,1.0,0.0,1.0
20050418222656,Xezbeth,0.0,0.0,0.0,438.0,5.0,443.0
20050426014126,Furrykef,0.0,0.0,0.0,244.0,2.0,246.0
20050428020443,Lommer,0.0,0.0,0.0,12.0,0.0,12.0
20050429023228,Shanes,0.0,0.0,0.0,91.0,0.0,91.0
20050501063903,Cburnett,0.0,0.0,0.0,56.0,0.0,56.0
20050501220038,El C,0.0,0.0,0.0,2907.0,9.0,2916.0
20050504044627,Evercat,0.0,0.0,0.0,45.0,0.0,45.0
20050505191253,Rama,0.0,0.0,0.0,69.0,0.0,69.0
20050508141551,Bishonen,0.0,0.0,0.0,3232.0,11.0,3243.0
20050514232705,Ausir,0.0,0.0,0.0,132.0,1.0,133.0
20050531232907,Paul August,0.0,0.0,0.0,4047.0,6.0,4053.0
20050531232908,Marine 69-71,0.0,0.0,0.0,183.0,556.0,739.0
20050602033837,CesarB,0.0,0.0,0.0,36.0,0.0,36.0
20050602155217,Thryduulf,0.0,0.0,0.0,3804.0,29.0,3833.0
20050605163120,Mulad,0.0,0.0,0.0,7.0,0.0,7.0
20050606172404,Fawcett5,0.0,0.0,0.0,56.0,0.0,56.0
20050606225931,Zzyzx11,0.0,0.0,0.0,4704.0,44.0,4748.0
20050608072149,Zocky,0.0,0.0,0.0,4.0,0.0,4.0
20050617124700,Sjakkalle,0.0,0.0,0.0,83.0,0.0,83.0
20050617124837,Kbdank71,0.0,0.0,0.0,279.0,1.0,280.0
20050621041603,Guettarda,0.0,0.0,0.0,1187.0,32.0,1219.0
20050622062456,TheoClarke,0.0,0.0,0.0,2.0,0.0,2.0
20050623032019,TenOfAllTrades,0.0,0.0,0.0,127.0,0.0,127.0
20050625010554,JoJan,0.0,0.0,0.0,11046.0,15.0,11061.0
20050625042037,Mike Halterman,0.0,0.0,0.0,267.0,0.0,267.0
20050626011355,VersedFenrir,0.0,0.0,0.0,51.0,0.0,51.0
20050702221658,Mzajac,0.0,0.0,0.0,8655.0,112.0,8767.0
20050704015139,Spangineer,0.0,0.0,0.0,9.0,0.0,9.0
20050706032415,Vsmith,0.0,0.0,0.0,29130.0,7.0,29137.0
20050706052120,Woohookitty,0.0,0.0,0.0,124.0,3.0,127.0
20050707024145,Starblind,0.0,0.0,0.0,21.0,0.0,21.0
20050712212946,Uncle G,0.0,0.0,0.0,1516.0,43.0,1559.0
20050714220950,Jredmond,0.0,0.0,0.0,1.0,0.0,1.0
20050720142656,Hashar,0.0,0.0,0.0,5.0,0.0,5.0
20050725023038,Dominic,0.0,0.0,0.0,203.0,3.0,206.0
20050727154642,JamesTeterenko,0.0,0.0,0.0,9.0,0.0,9.0
20050728043845,Sasquatch,0.0,0.0,0.0,18.0,0.0,18.0
20050731072638,Thunderbrand,0.0,0.0,0.0,1.0,0.0,1.0
20050802165104,Humblefool,0.0,0.0,0.0,6.0,0.0,6.0
20050803025215,Kmccoy,0.0,0.0,0.0,4.0,0.0,4.0
20050806002612,Jondel,0.0,0.0,0.0,7.0,0.0,7.0
20050806171344,Dan100,0.0,0.0,0.0,2126.0,0.0,2126.0
20050810040634,Kaldari,0.0,0.0,0.0,3.0,0.0,3.0
20050810234110,BaronLarf,0.0,0.0,0.0,10.0,0.0,10.0
20050811064850,Zscout370,0.0,0.0,0.0,12.0,1.0,13.0
