a_timestamp,a_name,edits_live_pre,edits_deleted_pre,edits_total_pre,edits_live_post,edits_deleted_post,edits_total_post
20140101002123,Ev,0.0,0.0,0.0,2.0,0.0,2.0
20140111120744,MER-C,0.0,0.0,0.0,6910.0,1588.0,8498.0
20140203182122,Yaris678,0.0,0.0,0.0,54.0,1.0,55.0
20140205185213,28bytes,0.0,0.0,0.0,67.0,0.0,67.0
20140208194341,Grue,0.0,0.0,0.0,6.0,0.0,6.0
20140220042048,AuburnPilot,0.0,0.0,0.0,5.0,0.0,5.0
20140301201713,TLSuda,0.0,0.0,0.0,41.0,2.0,43.0
20140302224752,SuperMarioMan,0.0,0.0,0.0,2462.0,19.0,2481.0
20140313020253,Razr Nation,0.0,0.0,0.0,7.0,0.0,7.0
20140417085742,Randykitty,0.0,0.0,0.0,6629.0,512.0,7141.0
20140428210419,MusikAnimal,0.0,0.0,0.0,1631.0,114.0,1745.0
20140501155607,Anne Delong,0.0,0.0,0.0,74.0,0.0,74.0
20140529102502,Go Phightins!,0.0,0.0,0.0,1252.0,6.0,1258.0
20140613191120,Fuzheado,0.0,0.0,0.0,5465.0,38.0,5503.0
20140616131734,Deor,0.0,0.0,0.0,7328.0,182.0,7510.0
20140617002403,Ckatz,0.0,0.0,0.0,19.0,0.0,19.0
20140704015927,ST11,0.0,0.0,0.0,5.0,0.0,5.0
20140719041926,Rfl,0.0,0.0,0.0,6.0,0.0,6.0
20140730135823,Boing! said Zebedee,0.0,0.0,0.0,635.0,11.0,646.0
20140904134627,Cecropia,0.0,0.0,0.0,10.0,0.0,10.0
20141105200652,Jackmcbarn,0.0,0.0,0.0,9.0,0.0,9.0
20141116225032,I JethroBT,0.0,0.0,0.0,38.0,2.0,40.0
20141122074540,Northamerica1000,0.0,0.0,0.0,24321.0,704.0,25025.0
20141125021719,Master Jay,0.0,0.0,0.0,21.0,0.0,21.0
20141126191025,The Wordsmith,0.0,0.0,0.0,42.0,0.0,42.0
20141128161844,Samwalton9,0.0,0.0,0.0,443.0,1.0,444.0
20141129182052,Czar,0.0,0.0,0.0,8080.0,292.0,8372.0
20141205173030,Sarahj2107,0.0,0.0,0.0,276.0,11.0,287.0
