a_timestamp,a_name,edits_live_pre,edits_deleted_pre,edits_total_pre,edits_live_post,edits_deleted_post,edits_total_post
20200101002953,CALR,0.0,0.0,0.0,1.0,0.0,1.0
20200101002959,John Reaves,0.0,0.0,0.0,7.0,0.0,7.0
20200101003008,Jengod,0.0,0.0,0.0,34767.0,6400.0,41167.0
20200123214827,Nick Moyes,0.0,0.0,0.0,2066.0,30.0,2096.0
20200124143456,QEDK,0.0,0.0,0.0,395.0,1.0,396.0
20200125051005,Wugapodes,0.0,0.0,0.0,598.0,1.0,599.0
20200126033245,Ergo Sum,0.0,0.0,0.0,6888.0,25.0,6913.0
20200127022956,Dennis Brown,0.0,0.0,0.0,849.0,4.0,853.0
20200201035645,Fishhead64,0.0,0.0,0.0,4.0,0.0,4.0
20200208131134,AmandaNP,0.0,0.0,0.0,746.0,5.0,751.0
20200222234757,Moneytrees,0.0,0.0,0.0,1456.0,39.0,1495.0
20200301003906,PeaceNT,0.0,0.0,0.0,50.0,0.0,50.0
20200303122411,Cabayi,0.0,0.0,0.0,8853.0,266.0,9119.0
20200312082509,Lee Vilenski,0.0,0.0,0.0,3027.0,8.0,3035.0
20200324191138,Boing! said Zebedee,0.0,0.0,0.0,773.0,1.0,774.0
20200401004210,Kaisershatner,0.0,0.0,0.0,26.0,0.0,26.0
20200501011940,Anna Frodesiak,0.0,0.0,0.0,1.0,0.0,1.0
20200512044951,CaptainEek,0.0,0.0,0.0,1557.0,12.0,1569.0
20200515142947,Cwmhiraeth,0.0,0.0,0.0,732.0,0.0,732.0
20200517130158,GeneralNotability,0.0,0.0,0.0,1603.0,6.0,1609.0
20200601023314,TheCoffee,0.0,0.0,0.0,17.0,0.0,17.0
20200605004801,Malcolmxl5,0.0,0.0,0.0,415.0,1.0,416.0
20200706181437,BD2412,0.0,0.0,0.0,210316.0,796.0,211112.0
20200706181451,Mark Ironie,0.0,0.0,0.0,195.0,0.0,195.0
20200727155336,Euryalus,0.0,0.0,0.0,2594.0,8.0,2602.0
20200730160519,Red Phoenix,0.0,0.0,0.0,693.0,1.0,694.0
20200731222714,SQL,0.0,0.0,0.0,262.0,0.0,262.0
20200807001051,Clpo13,0.0,0.0,0.0,9.0,0.0,9.0
20200819112721,Eddie891,0.0,0.0,0.0,5130.0,37.0,5167.0
20200901001751,Lomn,0.0,0.0,0.0,11.0,0.0,11.0
20200901001803,XJaM,0.0,0.0,0.0,1.0,0.0,1.0
20200901001812,Oliver Pereira,0.0,0.0,0.0,1.0,0.0,1.0
20200923130410,Ajpolino,0.0,0.0,0.0,796.0,8.0,804.0
20200923141639,LuK3,0.0,0.0,0.0,2654.0,13.0,2667.0
20201025182927,John M Wolfson,0.0,0.0,0.0,3031.0,88.0,3119.0
20201101002822,GoldenRing,0.0,0.0,0.0,4.0,0.0,4.0
20201101002826,Andrwsc,0.0,0.0,0.0,1.0,0.0,1.0
20201201020709,Brion VIBBER,0.0,0.0,0.0,4.0,0.0,4.0
20201215180320,Hammersoft,0.0,0.0,0.0,3654.0,143.0,3797.0
