a_timestamp,a_name,edits_live_pre,edits_deleted_pre,edits_total_pre,edits_live_post,edits_deleted_post,edits_total_post
20200101002953,CALR,0.0,0.0,0.0,2.0,0.0,2.0
20200101002959,John Reaves,0.0,0.0,0.0,18.0,0.0,18.0
20200101003004,MECU,0.0,0.0,0.0,1.0,0.0,1.0
20200101003008,Jengod,0.0,0.0,0.0,7.0,0.0,7.0
20200101003025,Aude,0.0,0.0,0.0,14.0,0.0,14.0
20200123214827,Nick Moyes,557.0,4.0,561.0,8028.0,95.0,8123.0
20200124143456,QEDK,638.0,14.0,652.0,4082.0,393.0,4475.0
20200125051005,Wugapodes,252.0,2.0,254.0,4950.0,210.0,5160.0
20200126033245,Ergo Sum,1019.0,27.0,1046.0,11250.0,86.0,11336.0
20200127022956,Dennis Brown,28.0,0.0,28.0,723.0,4.0,727.0
20200208131134,AmandaNP,9.0,0.0,9.0,5786.0,128.0,5914.0
20200215202425,Athaenara,99.0,1.0,100.0,704.0,17.0,721.0
20200222234757,Moneytrees,1533.0,110.0,1643.0,8712.0,515.0,9227.0
20200301003906,PeaceNT,0.0,0.0,0.0,387.0,0.0,387.0
20200303122411,Cabayi,1223.0,139.0,1362.0,8043.0,650.0,8693.0
20200312082509,Lee Vilenski,2063.0,22.0,2085.0,14738.0,179.0,14917.0
20200324191138,Boing! said Zebedee,140.0,1.0,141.0,3942.0,101.0,4043.0
20200401004210,Kaisershatner,0.0,0.0,0.0,41.0,0.0,41.0
20200501011940,Anna Frodesiak,0.0,0.0,0.0,1.0,0.0,1.0
20200512044951,CaptainEek,3668.0,329.0,3997.0,4637.0,103.0,4740.0
20200515142947,Cwmhiraeth,6152.0,44.0,6196.0,8960.0,135.0,9095.0
20200517130158,GeneralNotability,9007.0,1758.0,10765.0,16567.0,628.0,17195.0
20200601023314,TheCoffee,0.0,0.0,0.0,1.0,0.0,1.0
20200605004801,Malcolmxl5,334.0,30.0,364.0,9769.0,783.0,10552.0
20200706181437,BD2412,96999.0,1239.0,98238.0,90083.0,31405.0,121488.0
20200706181451,Mark Ironie,10.0,0.0,10.0,83.0,1.0,84.0
20200727155336,Euryalus,155.0,18.0,173.0,802.0,14.0,816.0
20200730160519,Red Phoenix,4367.0,74.0,4441.0,1089.0,37.0,1126.0
20200731222714,SQL,547.0,1.0,548.0,583.0,4.0,587.0
20200807001051,Clpo13,86.0,4.0,90.0,22.0,0.0,22.0
20200819112721,Eddie891,6481.0,154.0,6635.0,8722.0,340.0,9062.0
20200923130410,Ajpolino,992.0,12.0,1004.0,888.0,22.0,910.0
20200923141639,LuK3,17812.0,1046.0,18858.0,5823.0,27.0,5850.0
20200923210127,Jackmcbarn,2016.0,293.0,2309.0,1238.0,129.0,1367.0
20201001004947,Philosopher,0.0,0.0,0.0,9.0,0.0,9.0
20201025182927,John M Wolfson,4751.0,100.0,4851.0,422.0,2.0,424.0
20201201020647,Thatcher,0.0,0.0,0.0,1.0,0.0,1.0
20201201020709,Brooke Vibber,0.0,0.0,0.0,1.0,0.0,1.0
20201215180320,Hammersoft,4552.0,356.0,4908.0,678.0,10.0,688.0
