a_timestamp,a_name,edits_live_pre,edits_deleted_pre,edits_total_pre,edits_live_post,edits_deleted_post,edits_total_post
20070108000003,Nilfanion,0.0,0.0,0.0,4.0,0.0,4.0
20070109115813,Kinu,0.0,0.0,0.0,5102.0,139.0,5241.0
20070111000321,Feydey,0.0,0.0,0.0,8.0,0.0,8.0
20070111065831,Visviva,0.0,0.0,0.0,1770.0,72.0,1842.0
20070116143237,Night Gyr,0.0,0.0,0.0,51.0,1.0,52.0
20070119161007,FT2,0.0,0.0,0.0,176.0,0.0,176.0
20070121054228,Newyorkbrad,0.0,0.0,0.0,1057.0,6.0,1063.0
20070122134319,BozMo,0.0,0.0,0.0,3.0,0.0,3.0
20070122173944,Mysid,0.0,0.0,0.0,3.0,0.0,3.0
20070122212628,Yannismarou,0.0,0.0,0.0,3.0,0.0,3.0
20070125025327,Kuru,0.0,0.0,0.0,9436.0,720.0,10156.0
20070129024714,Wizardman,0.0,0.0,0.0,55583.0,1303.0,56886.0
20070201002244,Chrislk02,0.0,0.0,0.0,2.0,0.0,2.0
20070205201821,Gilliam,0.0,0.0,0.0,4498.0,66.0,4564.0
20070207140813,Kafziel,0.0,0.0,0.0,4.0,0.0,4.0
20070207232516,Carabinieri,0.0,0.0,0.0,722.0,16.0,738.0
20070209111128,Geniac,0.0,0.0,0.0,25.0,34.0,59.0
20070210012319,AnemoneProjectors,0.0,0.0,0.0,915.0,17.0,932.0
20070213031254,Garion96,0.0,0.0,0.0,14.0,0.0,14.0
20070214190006,Cuchullain,0.0,0.0,0.0,629.0,10.0,639.0
20070215202449,VegaDark,0.0,0.0,0.0,1.0,0.0,1.0
20070216014741,Swatjester,0.0,0.0,0.0,22.0,0.0,22.0
20070216225430,Heimstern,0.0,0.0,0.0,17.0,0.0,17.0
20070218032843,Zzuuzz,0.0,0.0,0.0,4005.0,37.0,4042.0
20070218034324,Delldot,0.0,0.0,0.0,1.0,0.0,1.0
20070221011121,Crum375,0.0,0.0,0.0,467.0,0.0,467.0
20070221150639,ProveIt,0.0,0.0,0.0,343.0,0.0,343.0
20070225074648,TimVickers,0.0,0.0,0.0,2.0,0.0,2.0
20070226130002,Fram,0.0,0.0,0.0,4083.0,949.0,5032.0
20070228142917,BigHaz,0.0,0.0,0.0,76.0,3.0,79.0
20070301034759,Georgewilliamherbert,0.0,0.0,0.0,2.0,0.0,2.0
20070302133536,Deryck Chan,0.0,0.0,0.0,556.0,23.0,579.0
20070304030926,Bubba hotep,0.0,0.0,0.0,2.0,0.0,2.0
20070304032048,Harryboyles,0.0,0.0,0.0,3865.0,398.0,4263.0
20070304072802,Jesse Viviano,0.0,0.0,0.0,148.0,2.0,150.0
20070305210513,AuburnPilot,0.0,0.0,0.0,24.0,0.0,24.0
20070310210752,John Reaves,0.0,0.0,0.0,18.0,0.0,18.0
20070313011200,Seraphimblade,0.0,0.0,0.0,1953.0,139.0,2092.0
20070313173343,Rklawton,0.0,0.0,0.0,52.0,0.0,52.0
20070321120512,Alison,0.0,0.0,0.0,854.0,5.0,859.0
20070321215104,AzaToth,0.0,0.0,0.0,2.0,0.0,2.0
20070324093346,Oldelpaso,0.0,0.0,0.0,6.0,0.0,6.0
20070326234848,WJBscribe,0.0,0.0,0.0,4.0,0.0,4.0
20070328132325,Casliber,0.0,0.0,0.0,3746.0,39.0,3785.0
20070329030648,Waggers,0.0,0.0,0.0,90.0,2.0,92.0
20070330181335,Ais523,0.0,0.0,0.0,2.0,0.0,2.0
20070331014150,Anthony Bradbury,0.0,0.0,0.0,117.0,4.0,121.0
20070402011145,Xdamr,0.0,0.0,0.0,5.0,0.0,5.0
20070406061456,KFP,0.0,0.0,0.0,10.0,0.0,10.0
20070406212944,Meno25,0.0,0.0,0.0,1092.0,16.0,1108.0
20070409172731,Nmajdan,0.0,0.0,0.0,13.0,0.0,13.0
20070410035947,Mikeblas,0.0,0.0,0.0,6538.0,137.0,6675.0
20070410155825,J Milburn,0.0,0.0,0.0,1749.0,23.0,1772.0
20070411161932,Dgies,0.0,0.0,0.0,31.0,1.0,32.0
20070413021321,Fuhghettaboutit,0.0,0.0,0.0,864.0,28.0,892.0
20070413145044,Hemlock Martinis,0.0,0.0,0.0,4.0,0.0,4.0
20070415051037,Staecker,0.0,0.0,0.0,18.0,0.0,18.0
20070417220933,Wrp103,0.0,0.0,0.0,6.0,0.0,6.0
20070418134610,Anthony Appleyard,0.0,0.0,0.0,16382.0,1556.0,17938.0
20070427062533,Ragesoss,0.0,0.0,0.0,51.0,1.0,52.0
20070428201005,Andonic,0.0,0.0,0.0,9.0,0.0,9.0
20070501013658,Bibliomaniac15,0.0,0.0,0.0,4763.0,390.0,5153.0
20070501212503,Prolog,0.0,0.0,0.0,183.0,1.0,184.0
20070503164052,Stephen,0.0,0.0,0.0,2875.0,13.0,2888.0
20070503164054,The Rambling Man,0.0,0.0,0.0,20371.0,55.0,20426.0
20070506182843,AGK,0.0,0.0,0.0,201.0,2.0,203.0
20070508025020,Marine 69-71,0.0,0.0,0.0,1271.0,24.0,1295.0
20070509021841,DGG,0.0,0.0,0.0,26295.0,8019.0,34314.0
